,Accuracy,Precision,Recall,F1-Score,Specificity,FPR,FNR,NPV,FDR,MCC
Naive Bayes,0.8233333333333334,0.825503355704698,0.82,0.822742474916388,0.8266666666666667,0.17333333333333334,0.18,0.8211920529801324,0.174496644295302,0.6466810375160671
SVM,0.82,0.8116883116883117,0.8333333333333334,0.8223684210526315,0.8066666666666666,0.19333333333333333,0.16666666666666666,0.8287671232876712,0.18831168831168832,0.640227676990482
Logistic Regression,0.8266666666666667,0.8181818181818182,0.84,0.8289473684210527,0.8133333333333334,0.18666666666666668,0.16,0.8356164383561644,0.18181818181818182,0.6535657535944505
